Account ID,Client id,Branch Name,Product Id,Loan Amount,Funded Amount,Funded Amount Inv,Disbursement Date,Loan Status,Repayment Type,Center Id,BranchID
ACC000001,518,Mathura,JLG35K,17689,18209,14736,05-09-15,Fully Paid,Quarterly EMI,910182,Mathura-910182
ACC000002,269,FATEHGARH SAHIB,JLG50K,28028,44825,25666,18-03-16,Paid Off,Quarterly EMI,120676,FATEHGARH SAHIB-120676
ACC000003,988,DHURI,JLG35K,44532,9013,24820,20-12-20,Default,Quarterly EMI,1030063,DHURI-1030063
ACC000004,735,DHURI,JLG30K,8828,6648,5311,28-02-18,Fully Paid,Monthly EMI,1030063,DHURI-1030063
ACC000005,580,Mathura,JLG30K,23336,5898,32762,28-01-19,Paid Off,Monthly EMI,910182,Mathura-910182
ACC000006,1001,SIVASAGAR,JLG35K,9547,6742,15227,06-05-19,Paid Off,Monthly EMI,880038,SIVASAGAR-880038
ACC000007,95,BEHROR,JLG30K,42300,30522,15197,14-01-15,Default,Monthly EMI,30179,BEHROR-30179
ACC000008,357,BEHROR,JLG30K,31513,5247,13250,21-04-17,Active,Monthly EMI,30179,BEHROR-30179
ACC000009,438,MUKTSAR,JLG30K,49517,32580,28839,06-04-21,Active,Monthly EMI,1110166,MUKTSAR-1110166
ACC000010,303,DURGAPUR,JLG35K,33787,16117,31783,18-07-20,Paid Off,Quarterly EMI,700013,DURGAPUR-700013
ACC000011,485,HAPUR,JLG35K,4176,24826,36659,25-11-22,Fully Paid,Quarterly EMI,210563,HAPUR-210563
ACC000012,110,JALANDHAR,JLG30K,44582,2453,15668,24-04-22,Fully Paid,Monthly EMI,160051,JALANDHAR-160051
ACC000013,936,Mathura,JLG39K,15828,22903,35257,13-08-21,Active,Monthly EMI,910182,Mathura-910182
ACC000014,871,DHURI,JLG30K,40060,34206,25805,25-08-16,Fully Paid,Monthly EMI,1030063,DHURI-1030063
ACC000015,615,MAWANA,JLG30K,14743,36936,33848,07-10-19,Paid Off,Monthly EMI,800018,MAWANA-800018
ACC000016,551,MAWANA,JLG30K,38892,43934,15990,17-11-16,Active,Quarterly EMI,800018,MAWANA-800018
ACC000017,40,KAROND,JLG30K,11814,29847,15492,02-12-18,Fully Paid,Monthly EMI,1320004,KAROND-1320004
ACC000018,487,BEHROR,JLG30K,22969,45972,28583,06-03-21,Fully Paid,Quarterly EMI,30179,BEHROR-30179
ACC000019,20,HAPUR,JLG40K,30337,44578,33723,24-11-15,Paid Off,Quarterly EMI,210563,HAPUR-210563
